web-scraper-order,web-scraper-start-url,types_habits,prix,adresse,image_lien-src
"1752100438-103","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Caleçons en coton","1 000CFA","Mbao, Dakar, Sénégal",""
"1752100438-104","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Caleçons en coton","1 000CFA","","https://images.coinafrique.com/thumb_4896568_uploaded_image3_1723761253.jpeg"
"1752100438-105","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Chemises homme","7 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1752100438-106","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Chemises homme","7 000CFA","","https://images.coinafrique.com/thumb_4894034_uploaded_image2_1723643245.jpeg"
"1752100438-107","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Shorts","3 000CFA","Dakar, Sénégal",""
"1752100438-108","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Shorts","3 000CFA","","https://images.coinafrique.com/thumb_4892992_uploaded_image1_1723587302.jpg"
"1752100438-109","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Pantalons homme","7 000CFA","Dakar, Sénégal",""
"1752100438-110","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Pantalons homme","7 000CFA","","https://images.coinafrique.com/thumb_4892420_uploaded_image1_1723566282.jpg"
"1752100438-111","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Tenue de travail","15 000CFA","Parcelle Assainies, Dakar, Sénégal",""
"1752100438-112","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Tenue de travail","15 000CFA","","https://images.coinafrique.com/thumb_4891855_uploaded_image1_1723551048.jpg"
"1752100438-113","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Uniformes","10 000CFA","Parcelle Assainies, Dakar, Sénégal",""
"1752100438-114","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Uniformes","10 000CFA","","https://images.coinafrique.com/thumb_4890367_uploaded_image1_1723471839.jpg"
"1752100438-115","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Grand boubou Geztner","Prix sur demande","Dakar, Sénégal",""
"1752100438-116","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Grand boubou Geztner","Prix sur demande","","https://images.coinafrique.com/thumb_4887989_uploaded_image1_1723332490.jpg"
"1752100438-117","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Short de plage","4 000CFA","Sicap Liberté, Dakar, Sénégal",""
"1752100438-118","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Short de plage","4 000CFA","","https://images.coinafrique.com/thumb_4885692_uploaded_image1_1723205631.jpg"
"1752100438-119","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Vêtements homme","7 000CFA","Dakar, Sénégal",""
"1752100438-120","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Vêtements homme","7 000CFA","","https://images.coinafrique.com/thumb_4884707_uploaded_image2_1723145659.jpeg"
"1752100438-121","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Vêtements homme","10 000CFA","Dakar, Sénégal",""
"1752100438-122","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Vêtements homme","10 000CFA","","https://images.coinafrique.com/thumb_4884700_uploaded_image1_1723145459.jpg"
"1752100438-123","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Débadeur homme","5 000CFA","Colobane, Dakar, Sénégal",""
"1752100438-124","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Débadeur homme","5 000CFA","","https://images.coinafrique.com/thumb_4839315_uploaded_image1_1720768264.jpg"
"1752100438-125","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Costumes africains","Prix sur demande","Guediawaye, Dakar, Sénégal",""
"1752100438-126","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Costumes africains","Prix sur demande","","https://images.coinafrique.com/thumb_4882578_uploaded_image1_1723045735.jpg"
"1752100438-127","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Pack de 03 boxers","6 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1752100438-128","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Pack de 03 boxers","6 000CFA","","https://images.coinafrique.com/thumb_4881277_uploaded_image1_1722988071.jpg"
"1752100438-129","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Tenues de travail","15 000CFA","Parcelle Assainies, Dakar, Sénégal",""
"1752100438-130","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Tenues de travail","15 000CFA","","https://images.coinafrique.com/thumb_4880327_uploaded_image1_1722954765.jpg"
"1752100438-131","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Chemise Al Hadj","8 000CFA","Dakar, Sénégal",""
"1752100438-132","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Chemise Al Hadj","8 000CFA","","https://images.coinafrique.com/thumb_4876895_uploaded_image1_1722786591.jpg"
"1752100438-133","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Pantalon Jean","6 500CFA","Mbao, Dakar, Sénégal",""
"1752100438-134","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Pantalon Jean","6 500CFA","","https://images.coinafrique.com/thumb_4869825_uploaded_image1_1722443420.jpg"
"1752100438-135","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Jeans Lewis","8 000CFA","Mbao, Dakar, Sénégal",""
"1752100438-136","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Jeans Lewis","8 000CFA","","https://images.coinafrique.com/thumb_4868068_uploaded_image1_1722358006.jpg"
"1752100438-137","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Polo","7 000CFA","Dakar, Sénégal",""
"1752100438-138","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Polo","7 000CFA","","https://images.coinafrique.com/thumb_4866756_uploaded_image1_1722291040.jpg"
"1752100438-139","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Chemise homme","7 000CFA","Mbao, Dakar, Sénégal",""
"1752100438-140","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Chemise homme","7 000CFA","","https://images.coinafrique.com/thumb_4865307_uploaded_image1_1722208226.jpg"
"1752100438-141","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Pantalon Jean  homme","8 000CFA","Mbao, Dakar, Sénégal",""
"1752100438-142","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Pantalon Jean  homme","8 000CFA","","https://images.coinafrique.com/thumb_4865278_uploaded_image1_1722205947.jpg"
"1752100438-143","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Jean  Casual Denin","8 000CFA","Mbao, Dakar, Sénégal",""
"1752100438-144","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Jean  Casual Denin","8 000CFA","","https://images.coinafrique.com/thumb_4865273_uploaded_image1_1722205748.jpg"
"1752100438-145","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Vêtements  homme","7 500CFA","Patte d'oie, Dakar, Sénégal",""
"1752100438-146","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Vêtements  homme","7 500CFA","","https://images.coinafrique.com/thumb_4864856_uploaded_image1_1722174913.jpg"
"1752100438-147","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Ensemble short","7 000CFA","Dakar, Sénégal",""
"1752100438-148","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Ensemble short","7 000CFA","","https://images.coinafrique.com/thumb_4864161_uploaded_image1_1722118825.jpg"
"1752100438-149","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Pantalon Kaki","7 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1752100438-150","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Pantalon Kaki","7 000CFA","","https://images.coinafrique.com/thumb_4814470_uploaded_image1_1719529943.jpg"
"1752100438-151","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Ensemble homme","13 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1752100438-152","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Ensemble homme","13 000CFA","","https://images.coinafrique.com/thumb_4814476_uploaded_image1_1719530168.jpg"
"1752100438-153","https://sn.coinafrique.com/categorie/vetements-homme?page=10","T-shirt  Amiri","11 500CFA","Ouest Foire, Dakar, Sénégal",""
"1752100438-154","https://sn.coinafrique.com/categorie/vetements-homme?page=10","T-shirt  Amiri","11 500CFA","","https://images.coinafrique.com/thumb_4862913_uploaded_image1_1722041225.jpg"
"1752100438-155","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Chemise coton","7 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1752100438-156","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Chemise coton","7 000CFA","","https://images.coinafrique.com/thumb_4812727_uploaded_image1_1719441661.jpg"
"1752100438-157","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Ensemble homme","13 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1752100438-158","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Ensemble homme","13 000CFA","","https://images.coinafrique.com/thumb_4812716_uploaded_image1_1719441496.jpg"
"1752100438-159","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Ensemble homme","13 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1752100438-160","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Ensemble homme","13 000CFA","","https://images.coinafrique.com/thumb_4812710_uploaded_image1_1719441390.jpg"
"1752100438-161","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Polo Lacoste homme","6 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1752100438-162","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Polo Lacoste homme","6 000CFA","","https://images.coinafrique.com/thumb_4812703_uploaded_image1_1719440832.jpg"
"1752100438-163","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Sous vêtements homme","3 500CFA","Sacré-Coeur, Dakar, Sénégal",""
"1752100438-164","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Sous vêtements homme","3 500CFA","","https://images.coinafrique.com/thumb_4860572_uploaded_image1_1721918196.jpg"
"1752100438-165","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Polo Lacoste","15 000CFA","Keur Massar, Sénégal",""
"1752100438-166","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Polo Lacoste","15 000CFA","","https://images.coinafrique.com/thumb_4860541_uploaded_image1_1721917261.jpg"
"1752100438-167","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Pantalon kaki","8 000CFA","Parcelle Assainies, Dakar, Sénégal",""
"1752100438-168","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Pantalon kaki","8 000CFA","","https://images.coinafrique.com/thumb_4860362_uploaded_image1_1721910770.jpg"
"1752100447-169","https://sn.coinafrique.com/categorie/vetements-homme?page=9","Vetement homme","7 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1752100447-170","https://sn.coinafrique.com/categorie/vetements-homme?page=9","Vetement homme","7 000CFA","","https://images.coinafrique.com/thumb_4911093_uploaded_image1_1724623752.jpg"
"1752100447-171","https://sn.coinafrique.com/categorie/vetements-homme?page=9","T-shirt coton","4 500CFA","Dakar Plateau, Dakar, Sénégal",""
