types_habits,prix,adresse,image_lien-src
Robe enfant,Prix sur demande,Rien,https://images.coinafrique.com/thumb_3088723_uploaded_image1_1619814031.jpg
Tunique enfant,Prix sur demande,"Rufisque, Sénégal",Rien
Tunique enfant,Prix sur demande,Rien,https://images.coinafrique.com/thumb_3087733_uploaded_image1_1619763855.jpg
Vêtements friperie enfants,1 000CFA,"Grand Yoff, Dakar, Sénégal",Rien
Vêtements friperie enfants,1 000CFA,Rien,https://images.coinafrique.com/thumb_3087186_uploaded_image1_1619724786.jpg
Chemise enfant,2 500CFA,"Colobane, Dakar, Sénégal",Rien
Chemise enfant,2 500CFA,Rien,https://images.coinafrique.com/thumb_3086775_uploaded_image1_1619710616.jpg
Vêtement enfants,2 500CFA,"Colobane, Dakar, Sénégal",Rien
Vêtement enfants,2 500CFA,Rien,https://images.coinafrique.com/thumb_3086774_uploaded_image1_1619710562.jpg
Chemise enfant,2 500CFA,"Colobane, Dakar, Sénégal",Rien
Chemise enfant,2 500CFA,Rien,https://images.coinafrique.com/thumb_3086770_uploaded_image1_1619710501.jpg
Robe fillette,Prix sur demande,"Rufisque, Sénégal",Rien
Robe fillette,Prix sur demande,Rien,https://images.coinafrique.com/thumb_3086234_uploaded_image1_1619695623.jpg
Robe fillette,Prix sur demande,"Rufisque, Sénégal",Rien
Robe fillette,Prix sur demande,Rien,https://images.coinafrique.com/thumb_3086230_uploaded_image1_1619695571.jpg
Robe fillette,Prix sur demande,"Rufisque, Sénégal",Rien
Robe fillette,Prix sur demande,Rien,https://images.coinafrique.com/thumb_3086229_uploaded_image1_1619695508.jpg
Robe fillette,Prix sur demande,"Rufisque, Sénégal",Rien
Robe fillette,Prix sur demande,Rien,https://images.coinafrique.com/thumb_3086225_uploaded_image1_1619695446.jpg
Robe fillette,Prix sur demande,"Rufisque, Sénégal",Rien
Robe fillette,Prix sur demande,Rien,https://images.coinafrique.com/thumb_3086220_uploaded_image1_1619695388.jpg
Robe fillette,Prix sur demande,"Rufisque, Sénégal",Rien
Robe fillette,Prix sur demande,Rien,https://images.coinafrique.com/thumb_3083787_uploaded_image1_1619562155.jpg
Ensemble enfants,1 300CFA,"Dakar, Sénégal",Rien
Ensemble enfants,1 300CFA,Rien,https://images.coinafrique.com/thumb_3083311_uploaded_image1_1619543622.jpg
Vêtements enfants,10 000CFA,"Rufisque, Sénégal",Rien
Vêtements enfants,10 000CFA,Rien,https://images.coinafrique.com/thumb_3079390_uploaded_image3_1619366149.jpeg
Boxer enfant,6 500CFA,"Parcelle Assainies, Dakar, Sénégal",Rien
Boxer enfant,6 500CFA,Rien,https://images.coinafrique.com/thumb_3077069_uploaded_image1_1619214743.jpg
Ensemble fille,2 000CFA,"Sicap Liberté, Dakar, Sénégal",Rien
Ensemble fille,2 000CFA,Rien,https://images.coinafrique.com/thumb_3072126_uploaded_image1_1619012521.jpg
Ensemble fille,2 000CFA,"Sicap Liberté, Dakar, Sénégal",Rien
Ensemble fille,2 000CFA,Rien,https://images.coinafrique.com/thumb_3072113_uploaded_image1_1619012309.jpg
Vêtements enfant,15 000CFA,"Parcelle Assainies, Dakar, Sénégal",Rien
Vêtements enfant,15 000CFA,Rien,https://images.coinafrique.com/thumb_3067708_uploaded_image1_1618829674.jpg
Body bébé,10 000CFA,"Rufisque, Sénégal",Rien
